2024-11-09 15:26:13,736 - INFO - Experiment settings: {'name': 'bo_parafac_dim5_rank2_mask0.0_tradeoff0.1_seed0', 'seed': 0, 'dimensions': 5, 'iter_bo': 300, 'storage': 'sqlite:////Users/keisukeonoue/ws/constrained_BO_v2/results/dbs/2024-11-09_15-26-13_bo_parafac_dim5_rank2_mask0.0_tradeoff0.1_seed0.db', 'unique_sampling': False, 'cp_settings': {'rank': 2, 'als_iterations': 100, 'mask_ratio': 0.0, 'random_dist_type': 'uniform'}, 'acqf_settings': {'trade_off_param': 0.1, 'maximize': False}}
[I 2024-11-09 15:26:14,035] A new study created in RDB with name: bo_parafac_dim5_rank2_mask0.0_tradeoff0.1_seed0
2024-11-09 15:26:14,036 - INFO - Created new study 'bo_parafac_dim5_rank2_mask0.0_tradeoff0.1_seed0' in sqlite:////Users/keisukeonoue/ws/constrained_BO_v2/results/dbs/2024-11-09_15-26-13_bo_parafac_dim5_rank2_mask0.0_tradeoff0.1_seed0.db
2024-11-09 15:26:14,051 - INFO - Using sample_independent for sampling.
2024-11-09 15:26:14,054 - INFO - Using sample_independent for sampling.
2024-11-09 15:26:14,056 - INFO - Using sample_independent for sampling.
2024-11-09 15:26:14,057 - INFO - Using sample_independent for sampling.
2024-11-09 15:26:14,058 - INFO - Using sample_independent for sampling.
[I 2024-11-09 15:26:14,067] Trial 0 finished with value: 63.0 and parameters: {'x_0': 0, 'x_1': 5, 'x_2': 3, 'x_3': 5, 'x_4': 2}. Best is trial 0 with value: 63.0.
[I 2024-11-09 15:26:14,139] Trial 1 finished with value: 82.0 and parameters: {'x_0': -5, 'x_1': -3, 'x_2': 4, 'x_3': -4, 'x_4': 4}. Best is trial 0 with value: 63.0.
[I 2024-11-09 15:26:14,274] Trial 2 finished with value: 75.0 and parameters: {'x_0': 5, 'x_1': -3, 'x_2': 4, 'x_3': 3, 'x_4': -4}. Best is trial 0 with value: 63.0.
[I 2024-11-09 15:26:14,440] Trial 3 finished with value: 62.0 and parameters: {'x_0': 4, 'x_1': 5, 'x_2': -4, 'x_3': 2, 'x_4': -1}. Best is trial 3 with value: 62.0.
[I 2024-11-09 15:26:14,569] Trial 4 finished with value: 29.0 and parameters: {'x_0': 0, 'x_1': 0, 'x_2': 0, 'x_3': -2, 'x_4': -5}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:14,849] Trial 5 finished with value: 49.0 and parameters: {'x_0': 4, 'x_1': -1, 'x_2': -4, 'x_3': -4, 'x_4': 0}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:15,132] Trial 6 finished with value: 58.0 and parameters: {'x_0': -4, 'x_1': -2, 'x_2': -5, 'x_3': 3, 'x_4': -2}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:15,416] Trial 7 finished with value: 51.0 and parameters: {'x_0': -1, 'x_1': 4, 'x_2': -3, 'x_3': 0, 'x_4': -5}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:15,726] Trial 8 finished with value: 100.0 and parameters: {'x_0': -5, 'x_1': 5, 'x_2': 3, 'x_3': 4, 'x_4': 5}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:15,961] Trial 9 finished with value: 74.0 and parameters: {'x_0': -2, 'x_1': -2, 'x_2': 5, 'x_3': 5, 'x_4': 4}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:16,327] Trial 10 finished with value: 60.0 and parameters: {'x_0': 5, 'x_1': 3, 'x_2': -1, 'x_3': 0, 'x_4': -5}. Best is trial 4 with value: 29.0.
[I 2024-11-09 15:26:16,601] Trial 11 finished with value: 75.0 and parameters: {'x_0': 5, 'x_1': 0, 'x_2': -5, 'x_3': -5, 'x_4': 0}. Best is trial 4 with value: 29.0.
